stream,sample_index,receive_gap_ms,exchange_event_gap_ms,sampled_from_total
depth,1298,136.911269,104.000,17554
depth,1316,127.579333,104.000,17554
depth,1334,93.447438,102.000,17554
depth,1351,18.311531,102.000,17554
depth,1369,101.992435,102.000,17554
depth,1386,160.525572,102.000,17554
depth,1404,102.183105,102.000,17554
depth,1421,125.280429,102.000,17554
depth,1439,101.573101,102.000,17554
depth,1456,111.386163,102.000,17554
depth,1474,47.666835,102.000,17554
depth,1492,189.415745,102.000,17554
depth,1509,152.603852,102.000,17554
depth,1527,101.691992,102.000,17554
depth,1544,111.095344,102.000,17554
depth,1562,104.193964,104.000,17554
depth,1579,128.211948,102.000,17554
depth,1597,38.274011,104.000,17554
depth,1614,115.595694,104.000,17554
depth,1632,130.885058,104.000,17554
depth,1650,102.354276,102.000,17554
depth,1667,101.543195,102.000,17554
depth,1685,101.354604,102.000,17554
depth,1702,101.547855,102.000,17554
depth,1720,58.660369,102.000,17554
depth,1737,104.1606,104.000,17554
depth,1755,0.738335,102.000,17554
depth,1772,102.249215,102.000,17554
depth,1790,129.886411,102.000,17554
depth,1808,100.657835,102.000,17554
depth,1825,104.915101,104.000,17554
depth,1843,98.162677,102.000,17554
depth,1860,102.043532,102.000,17554
depth,1878,101.778528,102.000,17554
depth,1895,102.192477,102.000,17554
depth,1913,425.5038,102.000,17554
depth,1930,80.461605,102.000,17554
depth,1948,103.818659,104.000,17554
depth,1966,197.001731,102.000,17554
depth,1983,102.306052,102.000,17554
depth,2001,25.244446,104.000,17554
depth,2018,104.099501,104.000,17554
depth,2036,135.008538,104.000,17554
depth,2053,100.437475,102.000,17554
depth,2071,93.593216,102.000,17554
depth,2088,28.274414,102.000,17554
depth,2106,109.431716,102.000,17554
depth,2124,64.648306,104.000,17554
depth,2141,104.098448,104.000,17554
depth,2159,124.028384,104.000,17554
depth,2176,101.911061,102.000,17554
depth,2194,102.58996,102.000,17554
depth,2211,69.987064,102.000,17554
depth,2229,162.266165,102.000,17554
depth,2246,124.699043,102.000,17554
depth,2264,113.752119,102.000,17554
depth,2282,3.000668,102.000,17554
depth,2299,97.396135,102.000,17554
depth,2317,186.281975,104.000,17554
depth,2334,92.537952,104.000,17554
depth,2352,129.846801,102.000,17554
depth,2369,31.017255,102.000,17554
depth,2387,103.968649,104.000,17554
depth,2404,158.100274,102.000,17554
depth,2422,428.8038,102.000,17554
depth,2440,158.985998,102.000,17554
depth,2457,116.706091,104.000,17554
depth,2475,95.304973,102.000,17554
depth,2492,52.599189,104.000,17554
depth,2510,100.46986,102.000,17554
depth,2527,134.724724,104.000,17554
depth,2545,114.016872,102.000,17554
depth,2562,102.263145,102.000,17554
depth,2580,23.258887,102.000,17554
depth,2597,137.810581,102.000,17554
depth,2615,72.039254,102.000,17554
depth,2633,104.11883,104.000,17554
depth,2650,121.204129,102.000,17554
depth,2668,103.022518,102.000,17554
depth,2685,101.989098,102.000,17554
depth,2703,103.712707,104.000,17554
depth,2720,133.629115,102.000,17554
depth,2738,119.918554,102.000,17554
depth,2755,122.782568,102.000,17554
depth,2773,102.363561,102.000,17554
depth,2791,86.246672,102.000,17554
depth,2808,193.121909,102.000,17554
depth,2826,101.757791,102.000,17554
depth,2843,146.661068,102.000,17554
depth,2861,94.466174,104.000,17554
depth,2878,102.381092,102.000,17554
depth,2896,103.87706,104.000,17554
depth,2913,90.035864,102.000,17554
depth,2931,164.098796,102.000,17554
depth,2949,101.804485,102.000,17554
depth,2966,133.246465,102.000,17554
depth,2984,117.771156,102.000,17554
depth,3001,102.234433,102.000,17554
depth,3019,17.963845,102.000,17554
depth,3036,102.113964,102.000,17554
depth,3054,173.109272,102.000,17554
depth,3071,87.619553,102.000,17554
depth,3089,137.890178,102.000,17554
depth,3107,102.944607,102.000,17554
depth,3124,129.096329,102.000,17554
depth,3142,36.528248,102.000,17554
depth,3159,102.411666,102.000,17554
depth,3177,187.180592,104.000,17554
depth,3194,92.900922,102.000,17554
depth,3212,130.80771,102.000,17554
depth,3229,101.838623,102.000,17554
depth,3247,101.921089,102.000,17554
depth,3265,25.50393,104.000,17554
depth,3282,101.642101,102.000,17554
depth,3300,167.948616,102.000,17554
depth,3317,101.006294,102.000,17554
depth,3335,118.872776,102.000,17554
depth,3352,17.657103,102.000,17554
depth,3370,104.086307,104.000,17554
depth,3387,135.409568,102.000,17554
depth,3405,100.948178,102.000,17554
depth,3423,155.855871,102.000,17554
depth,3440,102.060503,102.000,17554
depth,3458,101.74597,102.000,17554
depth,3475,29.239711,102.000,17554
depth,3493,109.949704,104.000,17554
depth,3510,133.168112,102.000,17554
depth,3528,102.222444,102.000,17554
depth,3545,103.772089,102.000,17554
depth,3563,101.883639,102.000,17554
depth,3581,42.068052,102.000,17554
depth,3598,78.698356,104.000,17554
depth,3616,101.932485,102.000,17554
depth,3633,127.183966,104.000,17554
depth,3651,104.023996,104.000,17554
depth,3668,170.03968,104.000,17554
depth,3686,143.042336,104.000,17554
depth,3703,6.191958,104.000,17554
depth,3721,0.842327,102.000,17554
depth,3739,101.348662,102.000,17554
depth,3756,38.41067,102.000,17554
depth,3774,105.175245,104.000,17554
depth,3791,130.827525,102.000,17554
depth,3809,101.158473,102.000,17554
depth,3826,386.21686,102.000,17554
depth,3844,101.068908,102.000,17554
depth,3861,104.344884,104.000,17554
