symbol,funding_time,funding_rate,mark_price
ETHUSDT,2022-05-07T08:00:00.016000+00:00,0.00010000,
ETHUSDT,2022-05-07T16:00:00.011000+00:00,0.00007282,
ETHUSDT,2022-05-08T00:00:00+00:00,0.00009867,
ETHUSDT,2022-05-08T08:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-05-08T16:00:00.015000+00:00,0.00010000,
ETHUSDT,2022-05-09T00:00:00+00:00,0.00010000,
ETHUSDT,2022-05-09T08:00:00.001000+00:00,0.00009424,
ETHUSDT,2022-05-09T16:00:00+00:00,0.00009769,
ETHUSDT,2022-05-10T00:00:00+00:00,0.00009833,
ETHUSDT,2022-05-10T08:00:00.007000+00:00,0.00006098,
ETHUSDT,2022-05-10T16:00:00.008000+00:00,0.00010000,
ETHUSDT,2022-05-11T00:00:00.004000+00:00,0.00007598,
ETHUSDT,2022-05-11T08:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-05-11T16:00:00.008000+00:00,0.00007639,
ETHUSDT,2022-05-12T00:00:00.014000+00:00,-0.00018602,
ETHUSDT,2022-05-12T08:00:00+00:00,-0.00079682,
ETHUSDT,2022-05-12T16:00:00.007000+00:00,-0.00028645,
ETHUSDT,2022-05-13T00:00:00.014000+00:00,-0.00009107,
ETHUSDT,2022-05-13T08:00:00.001000+00:00,-0.00016008,
ETHUSDT,2022-05-13T16:00:00+00:00,-0.00002742,
ETHUSDT,2022-05-14T00:00:00+00:00,0.00005029,
ETHUSDT,2022-05-14T08:00:00+00:00,0.00009124,
ETHUSDT,2022-05-14T16:00:00.001000+00:00,0.00006884,
ETHUSDT,2022-05-15T00:00:00+00:00,0.00010000,
ETHUSDT,2022-05-15T08:00:00+00:00,0.00007136,
