side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,15000,500,LOW,3232,99.10272277227723,-10.005385070037333,-10.052637954097808,0.0,-11.738077672972546,-8.156409418609554,-8.132759040517707,-12.03823738709508,10.050339446096661,0.0
LONG,15000,500,MEDIUM,373,100.0,-10.637024809614823,-10.105328605225859,0.0,-12.95187617013422,-8.26249027664319,-9.138351415290794,-12.881791952169996,10.059623411880233,0.00043136282429811205
LONG,30000,100,EXTREME,1782,97.69921436588103,-10.106634140939912,-10.0,0.0,-13.477804723745255,-7.0525074119127735,-7.945634656899858,-12.479387201715184,10.05055305853992,0.00014076829107571173
LONG,30000,100,HIGH,1805,98.67036011080333,-10.40428603765977,-10.21067275112898,0.0,-13.324174083811092,-7.471500624535551,-8.19835858656913,-12.753924398303472,10.056497380119858,3.482178755231946e-05
LONG,30000,100,LOW,3232,98.26732673267327,-10.006305119683738,-10.052669297935912,0.0,-12.582183511101036,-7.364868783911331,-8.132759040517707,-12.038216643358737,10.05328579702819,1.4576543850849686e-05
LONG,30000,100,MEDIUM,373,100.0,-11.109539839807526,-11.212051711956809,0.0,-13.214351615097085,-8.208771920577275,-9.138195114691516,-12.8816356713179,10.0543801504177,-7.027942155149157e-26
LONG,30000,1000,EXTREME,1782,97.69921436588103,-10.107379427522838,-10.0,0.0,-13.477804723745255,-7.0525074119127735,-7.946531969935706,-12.480092016534504,10.05129867726518,0.0008863870163371856
LONG,30000,1000,HIGH,1805,98.67036011080333,-10.404548952807541,-10.21067275112898,0.0,-13.324174083811092,-7.471500624535551,-8.198375050113889,-12.753924398303472,10.056760568078857,0.00029800974655091046
LONG,30000,1000,LOW,3232,98.26732673267327,-10.006345809590966,-10.052669297935912,0.0,-12.582183511101036,-7.364868783911331,-8.132759040517707,-12.038243817977452,10.053326507561085,5.52870767454783e-05
LONG,30000,1000,MEDIUM,373,100.0,-11.109759036034733,-11.212051711956809,0.0,-13.214351615097085,-8.208771920577275,-9.13841442057166,-12.881854949490707,10.054599439042695,0.00021928862499605414
LONG,30000,500,EXTREME,1782,97.69921436588103,-10.10704189197864,-10.0,0.0,-13.477804723745255,-7.0525074119127735,-7.946139025779514,-12.479785609480684,10.050960956598448,0.0005486663496057884
LONG,30000,500,HIGH,1805,98.67036011080333,-10.4044914859181,-10.21067275112898,0.0,-13.324174083811092,-7.471500624535551,-8.198373220831137,-12.753924398303472,10.056703040448289,0.00024048211598244376
LONG,30000,500,LOW,3232,98.26732673267327,-10.006334794978901,-10.052669297935912,0.0,-12.582183511101036,-7.364868783911331,-8.132759040517707,-12.03823738709508,10.053315487771364,4.4267287026175324e-05
LONG,30000,500,MEDIUM,373,100.0,-11.109696062256509,-11.212051711956809,0.0,-13.214351615097085,-8.208771920577275,-9.138351415290794,-12.881791952169996,10.05453643835187,0.00015628793417058322
LONG,60000,100,EXTREME,1782,97.3063973063973,-10.302850487065633,-10.31621574593064,0.0,-14.989976824428577,-5.735943960182235,-7.945634656899858,-12.479387201715184,10.047862369532673,0.00014133655984014656
LONG,60000,100,HIGH,1805,97.5623268698061,-10.715991053970836,-10.632051559049973,0.0,-16.577388786522768,-5.9888052805280525,-8.19835858656913,-12.753924398303472,10.053047394863672,-5.865951523382601e-25
LONG,60000,100,LOW,3232,95.38985148514851,-10.085850368763262,-9.683959231425952,0.0,-14.372012500724642,-6.262705259055624,-8.132759040517707,-12.038216643358737,10.057029977968647,2.3006261323390227e-05
LONG,60000,100,MEDIUM,373,100.0,-11.646822479184761,-11.316607565323231,0.0,-15.429343670068297,-8.78855736569407,-9.138195114691516,-12.8816356713179,10.054399665017439,7.127439949770536e-26
LONG,60000,1000,EXTREME,1782,97.3063973063973,-10.303574658183354,-10.31621574593064,0.0,-14.989976824428577,-5.735943960182235,-7.946531969935706,-12.480092016534504,10.048586908588296,0.0008658756154634603
LONG,60000,1000,HIGH,1805,97.5623268698061,-10.716001491701109,-10.632051559049973,0.0,-16.577388786522768,-5.9888052805280525,-8.198375050113889,-12.753924398303472,10.05305784120439,1.0446340718328225e-05
LONG,60000,1000,LOW,3232,95.38985148514851,-10.085994623668496,-9.683959231425952,0.0,-14.372012500724642,-6.262705259055624,-8.132759040517707,-12.038243817977452,10.057174403292766,0.00016743158544334
LONG,60000,1000,MEDIUM,373,100.0,-11.647041675411963,-11.316607565323231,0.0,-15.429343670068297,-8.78855736569407,-9.13841442057166,-12.881854949490707,10.054618953642436,0.00021928862499605414
LONG,60000,500,EXTREME,1782,97.3063973063973,-10.303259841501545,-10.31621574593064,0.0,-14.989976824428577,-5.735943960182235,-7.946139025779514,-12.479785609480684,10.048271914238496,0.0005508812656653273
LONG,60000,500,HIGH,1805,97.5623268698061,-10.715991053970836,-10.632051559049973,0.0,-16.577388786522768,-5.9888052805280525,-8.198373220831137,-12.753924398303472,10.053047394863672,0.0
LONG,60000,500,LOW,3232,95.38985148514851,-10.085956757724121,-9.683959231425952,0.0,-14.372012500724642,-6.262705259055624,-8.132759040517707,-12.03823738709508,10.05713649573926,0.0001295240319360998
LONG,60000,500,MEDIUM,373,100.0,-11.646978701633738,-11.316607565323231,0.0,-15.429343670068297,-8.78855736569407,-9.138351415290794,-12.881791952169996,10.05455595295161,0.00015628793417058322
SHORT,250,100,EXTREME,1782,100.0,-10.05513826162191,-10.052741170268845,0.0,-10.05281968978661,-10.052680630587938,-7.624942305366811,-12.15920013216372,10.056834154080937,0.00010650096220513217
SHORT,250,100,HIGH,1805,99.88919667590028,-10.05774812183944,-10.052739224172013,0.0,-10.052824988516306,-10.05267536077752,-7.349930183009311,-11.906355437453339,10.053977234493901,-6.634720779199634e-25
SHORT,250,100,LOW,3232,100.0,-10.048125411161893,-10.05272782848831,0.0,-10.052803799973612,-10.052670923860113,-8.066485735249058,-11.971920009922968,10.049519893692239,6.0972985764676486e-06
SHORT,250,100,MEDIUM,373,100.0,-10.04614665148204,-10.052717271031582,0.0,-10.052778563633677,-10.052668428422527,-7.2224168430381965,-10.967026293143968,10.057853257158913,7.677575300153527e-05
