side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,60000,500,TIGHT_THIN,2420,99.42148760330579,-10.78484247195735,-10.315829387879777,0.0,-15.998925970969626,-6.416448294588767,-8.422730630555938,-12.4729165531556,10.054802130222548,0.00014890661994825357
LONG,60000,500,WIDE_DEEP,1167,99.48586118251929,-8.54446275485404,-7.575065532354787,0.0,-14.58735367198257,-3.8817209407865922,-6.681829924485879,-12.117334527403973,10.058503668394145,0.0003397588400004893
LONG,60000,500,WIDE_THIN,1176,98.9795918367347,-10.530294942076436,-11.372084182515128,0.0,-15.257509357887386,-5.9888052805280525,-8.08170574649449,-12.76471042911842,10.049394019854272,0.00043404230294092635
SHORT,250,100,TIGHT_DEEP,2429,99.91766158913133,-10.05044834383813,-10.052723938407057,0.0,-10.052755075138412,-10.05267203301939,-7.903976417944127,-11.47300988264672,10.052049036817692,2.8463972749718935e-05
SHORT,250,100,TIGHT_THIN,2420,100.0,-10.049549882802033,-10.052716437728215,0.0,-10.052747287508303,-10.052669537476705,-7.6313869277606985,-11.682200001388468,10.053053969481729,2.3176219165602858e-05
SHORT,250,100,WIDE_DEEP,1167,100.0,-10.059682627917764,-10.052785134693103,0.0,-10.052831404190606,-10.052763978103345,-7.98731276772268,-13.422232901709025,10.048484855386816,6.0479676809868236e-05
SHORT,250,100,WIDE_THIN,1176,100.0,-10.05368350519447,-10.052789033810308,0.0,-10.052831822658646,-10.052763978103345,-7.339931555449879,-12.023442456951143,10.058615249115293,3.6037622820424006e-05
SHORT,250,1000,TIGHT_DEEP,2429,99.91766158913133,-10.050635955804092,-10.052723938407057,0.0,-10.052755075138412,-10.05267203301939,-7.903997813462201,-11.473031273097005,10.052236552912508,0.00021598006756434743
SHORT,250,1000,TIGHT_THIN,2420,100.0,-10.049666444537479,-10.052716437728215,0.0,-10.052747287508303,-10.052669537476705,-7.631440003237958,-11.682253050141831,10.0531704712536,0.00013967799103664234
SHORT,250,1000,WIDE_DEEP,1167,100.0,-10.060076254386882,-10.052785134693103,0.0,-10.052831404190606,-10.052763978103345,-7.987328606219159,-13.422265063451938,10.048878280574307,0.00045390486430131426
SHORT,250,1000,WIDE_THIN,1176,100.0,-10.054018117592257,-10.052789033810308,0.0,-10.052831962148975,-10.052763978103345,-7.340266094023556,-12.02377680803976,10.0589496883106,0.00037047681812702544
SHORT,250,500,TIGHT_DEEP,2429,99.91766158913133,-10.050483931950529,-10.052723938407057,0.0,-10.052755075138412,-10.05267203301939,-7.903987638096938,-11.473021100141901,10.052084606159204,6.403331426131081e-05
SHORT,250,500,TIGHT_THIN,2420,100.0,-10.049623728006775,-10.052716437728215,0.0,-10.052747287508303,-10.052669537476705,-7.631424759313013,-11.682237813724225,10.053127776814732,9.698355216874061e-05
SHORT,250,500,WIDE_DEEP,1167,100.0,-10.059900468972115,-10.052785134693103,0.0,-10.052831404190606,-10.052763978103345,-7.98731276772268,-13.422232901709025,10.048702585269723,0.0002782095597186296
SHORT,250,500,WIDE_THIN,1176,100.0,-10.053939756700462,-10.052789033810308,0.0,-10.052831962148975,-10.052763978103345,-7.340187751060871,-12.023698510348442,10.058871369352936,0.00029215786046134766
SHORT,500,100,TIGHT_DEEP,2429,99.876492383697,-10.046451258767142,-10.052723938407057,0.0,-10.0527556314857,-10.052671339792653,-7.903976417944127,-11.47300988264672,10.050181471880387,2.847570563213844e-05
SHORT,500,100,TIGHT_THIN,2420,100.0,-10.049265352951304,-10.052716715493077,0.0,-10.052752293577981,-10.052668982943777,-7.6313869277606985,-11.682200001388468,10.052116408525828,2.3176219165602858e-05
SHORT,500,100,WIDE_DEEP,1167,100.0,-10.062571811383666,-10.052785134693103,0.0,-10.05283252011913,-10.052763978103345,-7.98731276772268,-13.422232901709025,10.048384565223568,5.534045819869309e-05
SHORT,500,100,WIDE_THIN,1176,100.0,-10.052039402394518,-10.052789033810308,0.0,-10.05283252011913,-10.052760082686467,-7.339931555449879,-12.023442456951143,10.055373783265292,0.00014095355987773717
SHORT,500,1000,TIGHT_DEEP,2429,99.876492383697,-10.046587925987758,-10.052723938407057,0.0,-10.0527556314857,-10.052671339792653,-7.903997813462201,-11.473031273097005,10.050318068651057,0.00016507247630247743
SHORT,500,1000,TIGHT_THIN,2420,100.0,-10.04945687882079,-10.052716715493077,0.0,-10.052752293577981,-10.052668982943777,-7.631440003237958,-11.682253050141831,10.052307835192213,0.00021460288554994068
SHORT,500,1000,WIDE_DEEP,1167,100.0,-10.063053587449666,-10.052785134693103,0.0,-10.05283252011913,-10.052763978103345,-7.987328606219159,-13.422265063451938,10.048866080573886,0.0005368558085165712
SHORT,500,1000,WIDE_THIN,1176,100.0,-10.052561186325544,-10.052789033810308,0.0,-10.05283252011913,-10.052760082686467,-7.340266094023556,-12.02377680803976,10.055895289392017,0.0006624596866045898
SHORT,500,500,TIGHT_DEEP,2429,99.876492383697,-10.046486646958133,-10.052723938407057,0.0,-10.0527556314857,-10.052671339792653,-7.903987638096938,-11.473021100141901,10.050216841400543,6.384522578851677e-05
SHORT,500,500,TIGHT_THIN,2420,100.0,-10.049402007423359,-10.052716715493077,0.0,-10.052752293577981,-10.052668982943777,-7.631424759313013,-11.682237813724225,10.052252992249011,0.00015975994234725306
SHORT,500,500,WIDE_DEEP,1167,100.0,-10.062854640698001,-10.052785134693103,0.0,-10.05283252011913,-10.052763978103345,-7.98731276772268,-13.422232901709025,10.048667241219311,0.0003380164539432065
SHORT,500,500,WIDE_THIN,1176,100.0,-10.052415614797129,-10.052789033810308,0.0,-10.05283252011913,-10.052760082686467,-7.340187751060871,-12.023698510348442,10.055749797236954,0.0005169675315403825
SHORT,1000,100,TIGHT_DEEP,2429,99.83532317826266,-10.038956815564509,-10.052723938407057,0.0,-10.052757022405256,-10.052668982943777,-7.903976417944127,-11.47300988264672,10.051749900393439,1.1809218915287694e-05
SHORT,1000,100,TIGHT_THIN,2420,100.0,-10.047426647868589,-10.052716437728215,0.0,-10.052755075138412,-10.052668428422527,-7.6313869277606985,-11.682200001388468,10.052437564117168,1.628813305067386e-05
SHORT,1000,100,WIDE_DEEP,1167,100.0,-10.068806495549037,-10.052785134693103,0.0,-10.1794537648134,-10.052760082686467,-7.98731276772268,-13.422232901709025,10.046819154593491,-3.4389104241783544e-25
SHORT,1000,100,WIDE_THIN,1176,100.0,-10.053377235917939,-10.052789033810308,0.0,-10.05284200741531,-10.052758552519455,-7.339931555449879,-12.023442456951143,10.05596842324124,3.6037622820424006e-05
SHORT,1000,1000,TIGHT_DEEP,2429,99.83532317826266,-10.039045623931617,-10.052723938407057,0.0,-10.052757022405256,-10.052668982943777,-7.903997813462201,-11.473031273097005,10.051838663358676,0.00010057218415279708
SHORT,1000,1000,TIGHT_THIN,2420,100.0,-10.047479732825494,-10.052716437728215,0.0,-10.052755075138412,-10.052668428422527,-7.631440003237958,-11.682253050141831,10.052490623004557,6.934702043892175e-05
SHORT,1000,1000,WIDE_DEEP,1167,100.0,-10.068872558510323,-10.052785134693103,0.0,-10.1794537648134,-10.052760082686467,-7.987328606219159,-13.422265063451938,10.046885180883228,6.602628973744009e-05
SHORT,1000,1000,WIDE_THIN,1176,100.0,-10.053711848315727,-10.052789033810308,0.0,-10.05284200741531,-10.052759526245294,-7.340266094023556,-12.02377680803976,10.056302862436544,0.00037047681812702544
SHORT,1000,500,TIGHT_DEEP,2429,99.83532317826266,-10.038968270525467,-10.052723938407057,0.0,-10.052757022405256,-10.052668982943777,-7.903987638096938,-11.473021100141901,10.05176135032555,2.325915102767584e-05
SHORT,1000,500,TIGHT_THIN,2420,100.0,-10.047464484387795,-10.052716437728215,0.0,-10.052755075138412,-10.052668428422527,-7.631424759313013,-11.682237813724225,10.052475381991766,5.4106007648003406e-05
SHORT,1000,500,WIDE_DEEP,1167,100.0,-10.068806495549037,-10.052785134693103,0.0,-10.1794537648134,-10.052760082686467,-7.98731276772268,-13.422232901709025,10.046819154593491,0.0
SHORT,1000,500,WIDE_THIN,1176,100.0,-10.05363348742393,-10.052789033810308,0.0,-10.05284200741531,-10.052759526245294,-7.340187751060871,-12.023698510348442,10.05622454347888,0.00029215786046134766
