latency_profile,side,horizon_ms,notional,samples,execution_rate_percent,mean_net_bps,positive_percent,mean_cost_bps,mean_depth_slippage_bps
NORMAL,LONG,250,100,7192,99.972191323693,-10.053336058898678,0.0,10.052488434617446,4.326576606994814e-05
NORMAL,LONG,500,100,7192,99.95828698553949,-10.05460501566852,0.0,10.054072590107708,4.546878859121763e-05
NORMAL,LONG,1000,100,7192,99.94438264738598,-10.056541201368997,0.0,10.053680494419135,4.327778682677343e-05
NORMAL,LONG,3000,100,7192,99.81924360400446,-10.0625936617836,0.0,10.051859140363952,4.951995480848989e-05
NORMAL,LONG,5000,100,7192,99.72191323692992,-10.072060618031266,0.0,10.055134475839264,4.254053058961097e-05
NORMAL,LONG,15000,100,7192,99.15183537263626,-10.116216788505861,0.0,10.052332189549208,4.391126292684651e-05
NORMAL,LONG,30000,100,7192,98.31757508342604,-10.18944518354012,0.0,10.053479592190468,4.9977415028113946e-05
NORMAL,LONG,60000,100,7192,96.64905450500557,-10.383390082325924,0.0,10.053592908682697,4.546193330784437e-05
NORMAL,LONG,250,500,7192,99.972191323693,-10.053479309496451,0.0,10.052631755533602,0.0001865866822258202
NORMAL,LONG,500,500,7192,99.95828698553949,-10.054752191027774,0.0,10.054219834711995,0.00019271339287849106
NORMAL,LONG,1000,500,7192,99.94438264738598,-10.05668449653821,0.0,10.05382385519452,0.00018663856221064507
NORMAL,LONG,3000,500,7192,99.81924360400446,-10.062759104853205,0.0,10.052024676284454,0.00021505587531087407
NORMAL,LONG,5000,500,7192,99.72191323692992,-10.072204720119291,0.0,10.055278658573362,0.00018672326468935647
NORMAL,LONG,15000,500,7192,99.15183537263626,-10.116355516535085,0.0,10.052470993377105,0.0001827150908241036
NORMAL,LONG,30000,500,7192,98.31757508342604,-10.189618895549373,0.0,10.053653404206393,0.00022378943095307174
NORMAL,LONG,60000,500,7192,96.64905450500557,-10.383547770245888,0.0,10.053750704712929,0.00020325796354025332
NORMAL,LONG,250,1000,7192,99.972191323693,-10.053571234605762,0.0,10.052723726624603,0.0002785577732260743
NORMAL,LONG,500,1000,7192,99.95828698553949,-10.054848035108032,0.0,10.054315724552472,0.0002886032333540651
NORMAL,LONG,1000,1000,7192,99.94438264738598,-10.056773882628718,0.0,10.05391328258885,0.0002760659565405638
NORMAL,LONG,3000,1000,7192,99.81924360400446,-10.062859146510846,0.0,10.052124770903925,0.00031515049478134566
NORMAL,LONG,5000,1000,7192,99.72191323692992,-10.072297757924877,0.0,10.055371746299047,0.00027981099037378056
