configuration,period_type,period,with_funding_net_pnl,without_funding_net_pnl,difference,pnl_explained_percent,long_effect,short_effect,warning,diagnostic_only
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q2,0,0,0,,0,0,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q3,-50.63362993560515310285714347,-50.18273777442855409285714347,-0.45089216117659901000000000,0.8904993810438531131250001020,0,-0.498595795482238160000000,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q4,-68.47302878700697121142857180,-68.54178191651904499714285751,0.06875312951207378571428571,0.1004090672342508744499527195,0,0,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q1,-200.0883299410620789447914291,-201.0999880345705453692857148,1.0116580935084664244942857,0.5056057461254536633877167388,-0.432740570943124668400000,1.250272943744907777180000,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q2,-30.5516509370583870914583384,-30.1721241392207178150000004,-0.3795267978376692764583380,1.242246445599811367372221035,-1.359200516252638588163768,0.953206512315096611705430,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q3,-7.19700740246723680347606353,-7.81229589346209624857142748,0.61528849099485944509536395,8.549226874269015941830662842,0,0.602176934757351010095364,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q4,-106.7485455087818032106072576,-105.9240884478804396171428572,-0.8244570609013635934644004,0.7723356388341034562729503694,-1.885933367595414416497710,0.952452994172917452319024,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q1,198.6501724417050714781793104,198.0140706283689284378571420,0.6361018133361430403221684,0.3202120619969813683305796480,0,0.824895752480669786750740,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q2,400.9435731627471486391889737,404.7880244542160888464285707,-3.8444512914689402072395970,0.9588509577901221561011578477,-3.209090616884573117069404,-0.206946147703623445170193,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q3,42.72594482722252382328051198,46.18188272153314171928571434,-3.45593789431061789600520236,8.088616666725395144291914205,-3.387449634643853616719488,0,,True
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q4,41.04164008900512628310074090,40.85984595117445933285714298,0.18179413783066695024359792,0.4429504703915787105485661192,-0.481735153732371920000000,0.746043441457998845243598,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,YEAR,2022,-343.1731077329327469886369956,-332.0017258962900225117857147,-11.1713818366427244768512809,3.255319716175609371926304793,-7.952569148628166826698068,-3.509586968674201481581784,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,YEAR,2023,-198.6244244219674815631949324,-197.4580056190820888967857165,-1.1664188028853926664092159,0.5872484243968885112850585987,-0.969684232298540832480000,-0.445053919055422636429216,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,YEAR,2024,-418.2815079752971378694772457,-416.1721316908761146721428570,-2.1093762844210231973343887,0.5042958496137005190758778428,-8.458593292953680483193344,5.776426013511775514430384,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,YEAR,2025,1195.446227619742032882653467,1201.392406994310833509285712,-5.946179374568800626632245,0.4974024960042128508291889148,-12.068884180338525846217002,8.116409122417157903156185,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2022-Q1,-197.1615230367743356078296651,-197.5105813998667531907142866,0.3490583630924175828846215,0.1770418272876252975341623901,-1.869328059641696268970000,2.224894976940966001140336,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2022-Q2,19.0488713971278863307710596,21.6832884269455723585714268,-2.6344170298176860278003672,13.82978012132988116602745009,-0.452706094131365475691623,-2.187964786799904181037316,,True
