configuration,dimension,period,side,trades,gross_pnl,fees,funding,net_pnl
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q3,LONG,8,136.7676801859537014285714297,18.19975142367367617071428572,-1.790573272202720272337033,116.7773554900773049855201110
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q3,SHORT,7,86.49207698620650142857142943,16.90603182774290240928571428,-1.617378652130113059728944,67.96866650633348595955677112
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q4,LONG,2,-45.17485162445739428571428527,4.892357344643599662857142858,-0.500623233274166400750000,-50.56783220237516034932142813
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q4,SHORT,5,-108.6553183875731642857142865,9.971700047378545482142857144,-2.008404469925445612483223,-120.6354229048771553803403667
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q1,LONG,3,-13.25203941596938285714285731,7.181284268465223968571428570,-0.968097441322570881400000,-21.40142112575717770711428586
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q1,SHORT,1,-83.42753113083967285714285787,2.437688743812512436428571429,0.055412302670929046328876,-85.80980757198125624724255330
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q3,SHORT,1,-47.72591311891947428571428633,2.409121021203440657142857143,-0.498595795482238160000000,-50.63362993560515310285714347
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2023-Q4,LONG,1,-66.13349589058980571428571466,2.339532896417165497142857142,0,-68.47302878700697121142857180
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q1,LONG,1,24.23059599836480,2.16400974808994888,-0.432740570943124668400000,21.633845679331726451600000
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q1,SHORT,3,-216.0011408187749728571428576,6.971307745363740316428571429,1.250272943744907777180000,-221.7221756203938053963914291
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q2,LONG,2,236.5626203410929414285714283,4.628024590620313800714285714,-1.359200516252638588163768,230.5753952342199890396933746
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q2,SHORT,6,-249.4088474039623942857142858,12.67140527963107845714285714,0.953206512315096611705430,-261.1270461712783761311517130
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q3,SHORT,6,4.38008221779422714285714390,12.17926655501881495642857143,0.602176934757351010095364,-7.19700740246723680347606353
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q4,LONG,3,-15.71947111160116285714285736,6.886504743531478598571428571,-1.885933367595414416497710,-24.49190922272805587221199593
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2024-Q4,SHORT,4,-74.39117973440905857142857137,8.817909545817606219285714286,0.952452994172917452319024,-82.25663628605374733839526157
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q1,SHORT,10,217.8338757002916571428571419,20.00859901106725545142857143,0.824895752480669786750740,198.6501724417050714781793104
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q2,LONG,7,405.8803915592238928571428569,16.57942118096816492642857143,-3.209090616884573117069404,386.0918797613711548136448815
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q2,SHORT,4,23.24646934448055857142857085,8.187829795400941300714285715,-0.206946147703623445170193,14.85169340137599382554409215
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q3,LONG,6,60.68816466229184000000000002,14.57477020042546256000000000,-3.387449634643853616719488,42.72594482722252382328051198
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q4,LONG,1,-71.46996959563501714285714297,2.423034031280187051428571428,-0.481735153732371920000000,-74.37473878064757611428571440
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2025-Q4,SHORT,8,133.3424723441463357142857145,18.67213691595163216214285714,0.746043441457998845243598,115.4163788696527023973864553
